"consoleid","callhours","collmints","department","call1","call2","call3","oldcall","callDuration"
"0","11","03",,"","","Green",,"20.134"
"0","11","10",,"","","Green",,"8.955"
"0","11","12",,"Red","","",,"4.945"
"0","11","14",,"","","Green",,"5.106"
"0","11","17",,"","Yellow","",,"14.312"
"0","11","29",,"","","Green",,"13.102"
"0","11","37",,"","Yellow","Green",,""
"0","11","37",,"Red","Yellow","Green",,""
"0","11","37",,"Red","","Green",,""
"0","11","37",,"Red","","",,""
"0","11","37",,"Red","","",,"NaN"
"0","11","37",,"Red","","",,"4.003"
"0","11","37",,"","Yellow","",,"2.05"